1,The cat is _____ on the mat.,sit,sits,sat,sitting,D
42,He _____ to his friend's house last weekend.,go,goes,went,going,C
43,She _____ her keys on the table.,leave,leaves,left,leaving,B
44,They _____ a new car last year.,buy,buys,bought,buying,C
45,He _____ his homework yesterday.,finish,finishes,finished,finishing,C
46,The cat _____ on the bed.,lie,lies,lay,lying,C
47,We _____ our holiday last month.,enjoy,enjoys,enjoyed,enjoying,C
48,He _____ his shoes before entering the house.,take,takes,took,taking,B
49,She _____ breakfast every morning.,eat,eats,ate,eating,A
50,They _____ their lunch in the cafeteria.,eat,eats,ate,eating,D
51,The dog _____ in the garden.,dig,digs,dug,digging,B
52,She _____ to the party last night.,go,goes,went,going,C
53,He _____ his bike to work every day.,ride,rides,rode,riding,C
54,She _____ a new dress for the party.,buy,buys,bought,buying,B
55,He _____ his breakfast every morning.,eat,eats,ate,eating,A
56,She _____ her umbrella because it's raining.,bring,brings,brought,bringing,B
57,They _____ a new house next year.,buy,buys,bought,buying,A
58,He _____ his lunch at work.,have,has,had,having,D
59,She _____ her homework last night.,do,does,doing,done,A
60,The cat _____ the mouse.,catch,catches,caught,catching,C
61,We _____ TV in the living room.,watch,watches,watched,watching,A
62,He _____ his sister to school every day.,take,takes,took,taking,D
63,She _____ her hair every morning.,wash,washes,washed,washing,A
64,They _____ dinner at the restaurant last night.,have,has,had,having,C
65,He _____ his leg in the accident.,break,breaks,broke,breaking,C
66,She _____ a cake for her birthday.,bake,bakes,baked,baking,B
67,The children _____ in the playground.,play,plays,played,playing,A
68,He _____ to his friend's house last weekend.,go,goes,went,going,C
69,She _____ her keys on the table.,leave,leaves,left,leaving,B
70,They _____ a new car last year.,buy,buys,bought,buying,C
71,He _____ his homework yesterday.,finish,finishes,finished,finishing,C
72,The cat _____ on the bed.,lie,lies,lay,lying,C
73,We _____ our holiday last month.,enjoy,enjoys,enjoyed,enjoying,C
74,He _____ his shoes before entering the house.,take,takes,took,taking,B
75,She _____ breakfast every morning.,eat,eats,ate,eating,A
76,They _____ their lunch in the cafeteria.,eat,eats,ate,eating,D
77,The dog _____ in the garden.,dig,digs,dug,digging,B
78,She _____ to the party last night.,go,goes,went,going,C
79,He _____ his bike to work every day.,ride,rides,rode,riding,C
80,She _____ a new dress for the party.,buy,buys,bought,buying,C
81,He _____ his breakfast every morning.,eat,eats,ate,eating,B
82,She _____ her umbrella because it's raining.,bring,brings,brought,bringing,B
83,They _____ a new house next year.,will buy,buys,bought,buying,A
84,He _____ his lunch at work.,have,has,had,is having,D
85,She _____ her homework last night.,did,does,doing,done,A
86,The cat _____ the mouse.,catch,catches,caught,catching,C
87,We _____ TV in the living room.,watch,watches,watched,watching,A
88,He _____ his sister to school every day.,take,takes,took,taking,D
89,She _____ her hair every morning.,wash,washes,washed,washing,A
90,They _____ dinner at the restaurant last night.,have,has,had,having,C
91,He _____ his leg in the accident.,break,breaks,broke,breaking,C
92,She _____ a cake for her birthday.,bake,bakes,baked,baking,B
93,The children _____ in the playground.,play,plays,played,playing,A
94,He _____ to his friend's house last weekend.,go,goes,went,going,C
95,She _____ her keys on the table.,leave,leaves,left,leaving,B
96,They _____ a new car last year.,buy,buys,bought,buying,C
97,He _____ his homework yesterday.,finish,finishes,finished,finishing,C
98,The cat _____ on the bed.,lie,lies,lay,lying,C
99,We _____ our holiday last month.,enjoy,enjoys,enjoyed,enjoying,C
100,He _____ his shoes before entering the house.,take,takes,took,taking,B
